#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         294     -2.800000e-01      9.183673e-02      1.959904e-02
         295     -2.400000e-01      9.071186e-02      1.956486e-02
         296     -5.200000e-01      8.864865e-02      1.960725e-02
         297     -3.600000e-01      8.713805e-02      1.959933e-02
         298     -1.600000e-01      8.630872e-02      1.955110e-02
         299     -8.000000e-02      8.575251e-02      1.949362e-02
         300      8.000000e-02      8.573333e-02      1.942866e-02
         301      1.600000e-01      8.598007e-02      1.936568e-02
         302      1.600000e-01      8.622517e-02      1.930310e-02
         303      1.600000e-01      8.646865e-02      1.924093e-02
         304      1.200000e-01      8.657895e-02      1.917795e-02
         305      8.000000e-02      8.655738e-02      1.911509e-02
         306      8.000000e-02      8.653595e-02      1.905263e-02
         307      1.200000e-01      8.664495e-02      1.899088e-02
         308      2.800000e-01      8.727273e-02      1.893960e-02
         309      4.000000e-01      8.828479e-02      1.890533e-02
         310      4.400000e-01      8.941935e-02      1.887835e-02
         311      3.600000e-01      9.028939e-02      1.883769e-02
         312      5.600000e-01      9.179487e-02      1.883737e-02
         313      5.200000e-01      9.316294e-02      1.882680e-02
         314      3.600000e-01      9.401274e-02      1.878601e-02
         315      4.000000e-01      9.498413e-02      1.875147e-02
         316      4.400000e-01      9.607595e-02      1.872389e-02
         317      4.800000e-01      9.728707e-02      1.870396e-02
         318      2.800000e-01      9.786164e-02      1.865396e-02
         319      2.800000e-01      9.843260e-02      1.860422e-02
         320      4.000000e-01      9.937500e-02      1.856994e-02
         321      2.400000e-01      9.981308e-02      1.851725e-02
         322      2.400000e-01      1.002484e-01      1.846486e-02
         323      4.000000e-01      1.011765e-01      1.843100e-02
         324      4.000000e-01      1.020988e-01      1.839718e-02
         325      2.000000e-01      1.024000e-01      1.834304e-02
         326      8.000000e-02      1.023313e-01      1.828690e-02
         327      2.800000e-01      1.028746e-01      1.823905e-02
         328      4.800000e-01      1.040244e-01      1.821964e-02
         329      6.000000e-01      1.055319e-01      1.822652e-02
         330      4.800000e-01      1.066667e-01      1.820658e-02
         331      3.600000e-01      1.074320e-01      1.816766e-02
         332      4.800000e-01      1.085542e-01      1.814756e-02
         333      3.200000e-01      1.091892e-01      1.810417e-02
