#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         328      1.200000e-01      5.853659e-03      1.081246e-02
         329      1.600000e-01      6.322188e-03      1.078974e-02
         330      1.600000e-01      6.787879e-03      1.076709e-02
         331     -4.000000e-02      6.646526e-03      1.073549e-02
         332     -1.600000e-01      6.144578e-03      1.071488e-02
         333      0.000000e+00      6.126126e-03      1.068272e-02
         334      4.000000e-02      6.227545e-03      1.065121e-02
         335     -1.200000e-01      5.850746e-03      1.062608e-02
         336      3.200000e-01      6.785714e-03      1.063551e-02
         337      2.400000e-01      7.477745e-03      1.062644e-02
         338      4.000000e-01      8.639053e-03      1.065827e-02
         339      2.000000e-01      9.203540e-03      1.064177e-02
         340      4.000000e-01      1.035294e-02      1.067236e-02
         341      4.000000e-02      1.043988e-02      1.064142e-02
         342      0.000000e+00      1.040936e-02      1.061035e-02
         343      1.600000e-01      1.084548e-02      1.058837e-02
         344     -8.000000e-02      1.058140e-02      1.056088e-02
         345      1.200000e-01      1.089855e-02      1.053503e-02
         346      3.600000e-01      1.190751e-02      1.055279e-02
         347      0.000000e+00      1.187320e-02      1.052244e-02
         348     -2.000000e-01      1.126437e-02      1.050980e-02
         349     -2.000000e-01      1.065903e-02      1.049710e-02
         350     -2.800000e-01      9.828571e-03      1.049991e-02
         351     -8.000000e-02      9.572650e-03      1.047311e-02
         352      1.200000e-01      9.886364e-03      1.044806e-02
         353      4.000000e-02      9.971671e-03      1.041881e-02
         354     -2.000000e-01      9.378531e-03      1.040625e-02
         355     -2.000000e-01      8.788732e-03      1.039363e-02
         356     -4.000000e-02      8.651685e-03      1.036534e-02
         357     -2.400000e-01      7.955182e-03      1.035968e-02
         358     -2.000000e-01      7.374302e-03      1.034702e-02
         359     -2.400000e-01      6.685237e-03      1.034111e-02
         360     -4.000000e-02      6.555556e-03      1.031320e-02
         361     -2.000000e-01      5.983380e-03      1.030049e-02
         362     -1.200000e-01      5.635359e-03      1.027792e-02
         363      8.000000e-02      5.840220e-03      1.025164e-02
         364      2.400000e-01      6.483516e-03      1.024364e-02
         365      3.600000e-01      7.452055e-03      1.026126e-02
         366      2.400000e-01      8.087432e-03      1.025288e-02
         367      2.000000e-01      8.610354e-03      1.023827e-02
         368     -4.000000e-02      8.478261e-03      1.021130e-02
         369     -1.200000e-01      8.130081e-03      1.018956e-02
         370      8.000000e-02      8.324324e-03      1.016387e-02
         371      8.000000e-02      8.517520e-03      1.013831e-02
         372      1.200000e-01      8.817204e-03      1.011549e-02
         373     -2.000000e-01      8.257373e-03      1.010385e-02
         374     -2.400000e-01      7.593583e-03      1.009861e-02
         375     -8.000000e-02      7.360000e-03      1.007439e-02
         376      0.000000e+00      7.340426e-03      1.004761e-02
         377     -2.800000e-01      6.578249e-03      1.004983e-02
         378     -1.200000e-01      6.243386e-03      1.002882e-02
         379     -4.000000e-02      6.121372e-03      1.000310e-02
         380     -2.400000e-01      5.473684e-03      9.997720e-03
         381     -1.600000e-01      5.039370e-03      9.980908e-03
         382      1.200000e-01      5.340314e-03      9.959316e-03
         383      4.000000e-02      5.430809e-03      9.933724e-03
         384     -8.000000e-02      5.208333e-03      9.910345e-03
         385      2.000000e-01      5.714286e-03      9.897511e-03
         386      2.400000e-01      6.321244e-03      9.890463e-03
         387      2.000000e-01      6.821705e-03      9.877560e-03
         388     -4.000000e-02      6.701031e-03      9.852839e-03
         389     -8.000000e-02      6.478149e-03      9.830031e-03
         390      2.400000e-01      7.076923e-03      9.823046e-03
         391      0.000000e+00      7.058824e-03      9.797939e-03
         392      8.000000e-02      7.244898e-03      9.774711e-03
         393      2.800000e-01      7.938931e-03      9.774448e-03
         394      3.600000e-01      8.832487e-03      9.790398e-03
         395      1.200000e-01      9.113924e-03      9.769656e-03
         396     -1.200000e-01      8.787879e-03      9.750424e-03
         397     -3.200000e-01      7.959698e-03      9.760973e-03
         398     -3.600000e-01      7.035176e-03      9.780133e-03
         399     -1.200000e-01      6.716792e-03      9.760802e-03
         400      8.000000e-02      6.900000e-03      9.738120e-03
         401     -4.000000e-02      6.783042e-03      9.714537e-03
         402     -1.200000e-01      6.467662e-03      9.695490e-03
         403     -2.000000e-01      5.955335e-03      9.684958e-03
