#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         420      7.769695e-01      7.589133e-01      1.062151e-02
         421      7.759852e-01      7.589539e-01      1.059636e-02
         422      7.750360e-01      7.589920e-01      1.057132e-02
         423      7.741206e-01      7.590277e-01      1.054639e-02
         424      7.732406e-01      7.590612e-01      1.052157e-02
         425      7.723949e-01      7.590926e-01      1.049686e-02
         426      7.715852e-01      7.591219e-01      1.047226e-02
         427      7.708124e-01      7.591493e-01      1.044777e-02
         428      7.700777e-01      7.591749e-01      1.042339e-02
         429      7.693834e-01      7.591987e-01      1.039912e-02
         430      7.687279e-01      7.592208e-01      1.037496e-02
         431      7.681116e-01      7.592414e-01      1.035091e-02
         432      7.675357e-01      7.592606e-01      1.032697e-02
         433      7.670020e-01      7.592785e-01      1.030313e-02
         434      7.665103e-01      7.592952e-01      1.027940e-02
         435      7.660618e-01      7.593107e-01      1.025579e-02
         436      7.655570e-01      7.593251e-01      1.023227e-02
         437      7.646707e-01      7.593373e-01      1.020887e-02
         438      7.635458e-01      7.593469e-01      1.018556e-02
         439      7.624622e-01      7.593540e-01      1.016236e-02
         440      7.614200e-01      7.593587e-01      1.013927e-02
         441      7.604196e-01      7.593611e-01      1.011628e-02
         442      7.594631e-01      7.593613e-01      1.009339e-02
         443      7.585514e-01      7.593595e-01      1.007061e-02
         444      7.576850e-01      7.593557e-01      1.004792e-02
         445      7.568651e-01      7.593501e-01      1.002535e-02
         446      7.560922e-01      7.593428e-01      1.000287e-02
         447      7.553674e-01      7.593339e-01      9.980497e-03
         448      7.546925e-01      7.593236e-01      9.958224e-03
         449      7.539788e-01      7.593117e-01      9.936053e-03
         450      7.531513e-01      7.592980e-01      9.913982e-03
         451      7.523632e-01      7.592826e-01      9.892012e-03
         452      7.516192e-01      7.592657e-01      9.870141e-03
         453      7.509157e-01      7.592472e-01      9.848370e-03
         454      7.502554e-01      7.592274e-01      9.826698e-03
         455      7.496392e-01      7.592063e-01      9.805123e-03
         456      7.490675e-01      7.591841e-01      9.783646e-03
         457      7.485431e-01      7.591608e-01      9.762265e-03
         458      7.480648e-01      7.591366e-01      9.740980e-03
