#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         388     1.10926     1.35014   0.0182118
         389     1.10857     1.34952   0.0181755
         390     1.10788      1.3489   0.0181395
         391     1.10717     1.34828   0.0181036
         392     1.10646     1.34767    0.018068
         393     1.10574     1.34705   0.0180325
         394     1.10502     1.34644   0.0179972
         395     1.10429     1.34582    0.017962
         396     1.10357     1.34521   0.0179271
         397     1.10285      1.3446   0.0178923
         398     1.10214     1.34399   0.0178577
         399     1.10143     1.34338   0.0178233
         400     1.10072     1.34278   0.0177891
         401     1.10003     1.34217    0.017755
         402     1.09935     1.34157   0.0177211
         403     1.09868     1.34097   0.0176874
         404     1.09802     1.34036   0.0176538
         405     1.09738     1.33976   0.0176204
         406     1.09676     1.33917   0.0175872
         407     1.09615     1.33857   0.0175541
         408     1.09556     1.33797   0.0175212
         409     1.09499     1.33738   0.0174884
         410     1.09445     1.33679   0.0174558
         411     1.09392      1.3362   0.0174233
         412     1.09342     1.33561    0.017391
         413     1.09295     1.33502   0.0173588
         414      1.0925     1.33443   0.0173268
         415     1.09207     1.33385   0.0172949
         416     1.09167     1.33327   0.0172631
         417      1.0913     1.33269   0.0172314
         418     1.09096     1.33211   0.0171999
         419     1.09065     1.33153   0.0171685
         420     1.09037     1.33096   0.0171372
         421     1.09012     1.33039   0.0171061
         422      1.0899     1.32982    0.017075
         423     1.08972     1.32925   0.0170441
         424     1.08957     1.32868   0.0170133
         425     1.08945     1.32812   0.0169825
         426     1.08937     1.32756   0.0169519
         427     1.08932       1.327   0.0169214
         428     1.08931     1.32645    0.016891
         429     1.08934     1.32589   0.0168606
         430     1.08941     1.32534   0.0168304
         431     1.08952      1.3248   0.0168002
         432     1.08967     1.32425   0.0167702
         433     1.08986     1.32371   0.0167402
         434      1.0901     1.32317   0.0167102
         435     1.09037     1.32264   0.0166804
         436      1.0907     1.32211   0.0166506
         437     1.09107     1.32158   0.0166209
         438     1.09149     1.32105   0.0165913
         439     1.09195     1.32053   0.0165617
         440     1.09246     1.32001   0.0165321
         441     1.09303      1.3195   0.0165027
         442     1.09364     1.31899   0.0164732
         443     1.09431     1.31848   0.0164439
         444     1.09502     1.31797   0.0164145
         445     1.09579     1.31748   0.0163852
         446     1.09661     1.31698    0.016356
         447     1.09749     1.31649   0.0163268
         448     1.09842       1.316   0.0162976
         449      1.0994     1.31552   0.0162684
         450     1.10043     1.31504   0.0162393
         451     1.10152     1.31457   0.0162102
         452     1.10265      1.3141   0.0161811
         453     1.10385     1.31364    0.016152
         454     1.10509     1.31318    0.016123
         455     1.10638     1.31272   0.0160939
         456     1.10772     1.31227   0.0160649
         457      1.1091     1.31183   0.0160359
         458     1.11054     1.31139   0.0160069
         459     1.11201     1.31095    0.015978
         460     1.11353     1.31052    0.015949
         461     1.11509      1.3101     0.01592
         462     1.11669     1.30968   0.0158911
         463     1.11832     1.30927   0.0158621
         464     1.11998     1.30886   0.0158332
         465     1.12168     1.30846   0.0158042
         466      1.1234     1.30806   0.0157753
         467     1.12514     1.30767   0.0157464
         468     1.12691     1.30728   0.0157175
         469      1.1287      1.3069   0.0156886
         470      1.1305     1.30653   0.0156597
         471     1.13231     1.30616   0.0156308
         472     1.13413     1.30579   0.0156019
         473     1.13595     1.30543   0.0155731
         474     1.13777     1.30508   0.0155443
         475      1.1396     1.30473   0.0155154
         476     1.14141     1.30439   0.0154866
         477     1.14322     1.30405   0.0154578
         478     1.14502     1.30372   0.0154291
         479     1.14681     1.30339   0.0154004
         480     1.14858     1.30307   0.0153716
         481     1.15032     1.30275    0.015343
         482     1.15205     1.30244   0.0153143
         483     1.15375     1.30213   0.0152857
         484     1.15542     1.30183   0.0152571
         485     1.15706     1.30153   0.0152286
         486     1.15867     1.30123   0.0152001
         487     1.16025     1.30094   0.0151716
         488     1.16179     1.30066   0.0151432
         489     1.16329     1.30038   0.0151149
         490     1.16475      1.3001   0.0150866
         491     1.16618     1.29983   0.0150583
         492     1.16756     1.29956   0.0150301
         493     1.16889      1.2993   0.0150019
         494     1.17018     1.29903   0.0149738
         495     1.17143     1.29878   0.0149458
         496     1.17264     1.29852   0.0149178
         497     1.17379     1.29827   0.0148899
         498      1.1749     1.29802   0.0148621
         499     1.17597     1.29778   0.0148343
         500     1.17699     1.29754   0.0148066
         501     1.17796      1.2973    0.014779
         502     1.17888     1.29706   0.0147514
         503     1.17977     1.29683    0.014724
         504      1.1806      1.2966   0.0146966
         505     1.18139     1.29637   0.0146692
         506     1.18214     1.29614    0.014642
         507     1.18284     1.29592   0.0146148
         508     1.18351      1.2957   0.0145877
         509     1.18413     1.29548   0.0145607
         510      1.1847     1.29526   0.0145338
         511     1.18524     1.29505   0.0145069
         512     1.18574     1.29483   0.0144801
         513      1.1862     1.29462   0.0144535
         514     1.18663     1.29441   0.0144269
         515     1.18702      1.2942   0.0144004
         516     1.18737       1.294   0.0143739
         517     1.18769     1.29379   0.0143476
         518     1.18798     1.29359   0.0143214
         519     1.18823     1.29338   0.0142952
         520     1.18846     1.29318   0.0142691
         521     1.18866     1.29298   0.0142432
         522     1.18883     1.29278   0.0142173
         523     1.18897     1.29258   0.0141915
         524     1.18909     1.29239   0.0141658
         525     1.18918     1.29219   0.0141402
         526     1.18925     1.29199   0.0141146
         527     1.18929      1.2918   0.0140892
         528     1.18932     1.29161   0.0140638
         529     1.18932     1.29141   0.0140386
         530      1.1893     1.29122   0.0140134
         531     1.18927     1.29103   0.0139883
         532     1.18922     1.29084   0.0139634
         533     1.18915     1.29064   0.0139385
         534     1.18906     1.29045   0.0139137
         535     1.18896     1.29026   0.0138889
         536     1.18885     1.29008   0.0138643
         537     1.18872     1.28989   0.0138398
         538     1.18858      1.2897   0.0138153
         539     1.18843     1.28951    0.013791
         540     1.18826     1.28932   0.0137667
         541     1.18808     1.28914   0.0137426
         542      1.1879     1.28895   0.0137185
         543      1.1877     1.28876   0.0136945
         544      1.1875     1.28858   0.0136706
         545     1.18728     1.28839   0.0136467
         546     1.18706     1.28821    0.013623
         547     1.18683     1.28802   0.0135994
         548     1.18659     1.28783   0.0135758
         549     1.18634     1.28765   0.0135523
         550     1.18609     1.28747    0.013529
         551     1.18582     1.28728   0.0135057
         552     1.18556      1.2871   0.0134825
         553     1.18528     1.28691   0.0134593
         554       1.185     1.28673   0.0134363
         555     1.18471     1.28654   0.0134133
         556     1.18442     1.28636   0.0133905
         557     1.18412     1.28618   0.0133677
         558     1.18381     1.28599    0.013345
         559      1.1835     1.28581   0.0133224
         560     1.18317     1.28563   0.0132999
         561     1.18285     1.28544   0.0132774
         562     1.18251     1.28526    0.013255
         563     1.18217     1.28508   0.0132328
         564     1.18181     1.28489   0.0132106
         565     1.18145     1.28471   0.0131885
         566     1.18109     1.28453   0.0131664
         567     1.18071     1.28435   0.0131445
         568     1.18033     1.28416   0.0131226
         569     1.17993     1.28398   0.0131008
         570     1.17953      1.2838   0.0130791
         571     1.17911     1.28361   0.0130575
         572     1.17869     1.28343    0.013036
         573     1.17825     1.28325   0.0130145
         574      1.1778     1.28306   0.0129931
         575     1.17734     1.28288   0.0129718
         576     1.17687     1.28269   0.0129506
         577     1.17639     1.28251   0.0129295
         578     1.17589     1.28233   0.0129084
         579     1.17537     1.28214   0.0128875
         580     1.17485     1.28196   0.0128666
         581      1.1743     1.28177   0.0128458
         582     1.17375     1.28158    0.012825
         583     1.17317      1.2814   0.0128044
         584     1.17258     1.28121   0.0127838
         585     1.17198     1.28103   0.0127633
         586     1.17135     1.28084   0.0127429
         587     1.17071     1.28065   0.0127226
         588     1.17005     1.28046   0.0127023
         589     1.16937     1.28027   0.0126822
         590     1.16868     1.28009   0.0126621
         591     1.16796      1.2799   0.0126421
         592     1.16723     1.27971   0.0126222
         593     1.16647     1.27951   0.0126023
         594      1.1657     1.27932   0.0125826
         595     1.16491     1.27913   0.0125629
         596     1.16409     1.27894   0.0125433
         597     1.16326     1.27874   0.0125238
         598     1.16241     1.27855   0.0125043
         599     1.16154     1.27835    0.012485
         600     1.16065     1.27816   0.0124657
         601     1.15974     1.27796   0.0124465
         602     1.15881     1.27776   0.0124274
         603     1.15786     1.27756   0.0124084
         604     1.15689     1.27736   0.0123895
         605     1.15591     1.27716   0.0123706
         606     1.15491     1.27696   0.0123519
         607     1.15389     1.27676   0.0123332
         608     1.15285     1.27655   0.0123146
         609      1.1518     1.27635   0.0122961
         610     1.15074     1.27614   0.0122776
         611     1.14966     1.27594   0.0122593
         612     1.14857     1.27573    0.012241
         613     1.14746     1.27552   0.0122228
         614     1.14634     1.27531   0.0122047
         615     1.14522      1.2751   0.0121867
         616     1.14408     1.27488   0.0121688
         617     1.14293     1.27467   0.0121509
         618     1.14177     1.27446   0.0121332
         619     1.14061     1.27424   0.0121155
         620     1.13943     1.27402   0.0120979
         621     1.13825      1.2738   0.0120804
         622     1.13707     1.27358    0.012063
         623     1.13588     1.27336   0.0120457
         624     1.13469     1.27314   0.0120284
         625     1.13349     1.27292   0.0120112
         626     1.13229     1.27269   0.0119941
         627     1.13109     1.27247   0.0119771
         628     1.12988     1.27224   0.0119602
         629     1.12868     1.27201   0.0119434
         630     1.12747     1.27178   0.0119266
         631     1.12627     1.27155     0.01191
         632     1.12506     1.27132   0.0118934
         633     1.12385     1.27109   0.0118769
         634     1.12264     1.27085   0.0118604
         635     1.12143     1.27062   0.0118441
         636     1.12023     1.27038   0.0118278
         637     1.11902     1.27014   0.0118116
         638     1.11781      1.2699   0.0117955
         639      1.1166     1.26966   0.0117795
         640      1.1154     1.26942   0.0117636
         641     1.11419     1.26918   0.0117477
         642     1.11298     1.26894   0.0117319
         643     1.11177     1.26869   0.0117162
         644     1.11056     1.26845   0.0117006
         645     1.10935      1.2682   0.0116851
         646     1.10814     1.26795   0.0116696
         647     1.10692      1.2677   0.0116542
         648      1.1057     1.26745   0.0116389
         649     1.10448      1.2672   0.0116237
         650     1.10326     1.26695   0.0116086
         651     1.10204      1.2667   0.0115935
         652     1.10081     1.26644   0.0115785
         653     1.09958     1.26619   0.0115636
         654     1.09834     1.26593   0.0115488
         655     1.09711     1.26567    0.011534
         656     1.09586     1.26541   0.0115193
         657     1.09462     1.26515   0.0115047
         658     1.09337     1.26489   0.0114902
         659     1.09212     1.26463   0.0114758
         660     1.09087     1.26437   0.0114614
         661     1.08961      1.2641   0.0114471
         662     1.08835     1.26384   0.0114329
         663     1.08709     1.26357   0.0114188
         664     1.08583      1.2633   0.0114047
         665     1.08457     1.26304   0.0113907
         666     1.08331     1.26277   0.0113768
         667     1.08205     1.26249    0.011363
         668     1.08079     1.26222   0.0113492
         669     1.07953     1.26195   0.0113355
         670     1.07828     1.26168   0.0113219
         671     1.07704      1.2614   0.0113084
         672      1.0758     1.26112   0.0112949
         673     1.07457     1.26085   0.0112816
         674     1.07335     1.26057   0.0112683
         675     1.07215     1.26029    0.011255
         676     1.07095     1.26001   0.0112419
         677     1.06978     1.25973   0.0112288
         678     1.06862     1.25945   0.0112157
         679     1.06747     1.25916   0.0112028
         680     1.06635     1.25888   0.0111899
         681     1.06525      1.2586   0.0111771
         682     1.06418     1.25831   0.0111643
         683     1.06313     1.25803   0.0111516
         684      1.0621     1.25774    0.011139
         685     1.06111     1.25745   0.0111264
         686     1.06015     1.25716   0.0111139
         687     1.05922     1.25688   0.0111015
         688     1.05832     1.25659   0.0110891
         689     1.05746      1.2563   0.0110768
         690     1.05664     1.25601   0.0110645
         691     1.05585     1.25572   0.0110523
         692     1.05511     1.25543   0.0110401
         693     1.05441     1.25514    0.011028
         694     1.05376     1.25485   0.0110159
         695     1.05315     1.25456   0.0110039
         696     1.05258     1.25427   0.0109919
         697     1.05207     1.25398     0.01098
         698      1.0516     1.25369   0.0109681
         699     1.05118      1.2534   0.0109562
         700     1.05081     1.25311   0.0109444
         701     1.05049     1.25282   0.0109326
         702     1.05022     1.25253   0.0109208
         703        1.05     1.25224   0.0109091
         704     1.04983     1.25196   0.0108974
         705     1.04972     1.25167   0.0108857
         706     1.04965     1.25138    0.010874
         707     1.04964      1.2511   0.0108624
         708     1.04968     1.25081   0.0108508
         709     1.04978     1.25053   0.0108392
