#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         363     -3.364315e+00     -3.476824e+00      1.038421e-02
         364     -3.364949e+00     -3.476517e+00      1.036022e-02
         365     -3.365389e+00     -3.476212e+00      1.033631e-02
         366     -3.365484e+00     -3.475910e+00      1.031250e-02
         367     -3.365837e+00     -3.475610e+00      1.028876e-02
         368     -3.365998e+00     -3.475312e+00      1.026511e-02
         369     -3.366267e+00     -3.475017e+00      1.024155e-02
         370     -3.366492e+00     -3.474723e+00      1.021807e-02
         371     -3.366676e+00     -3.474432e+00      1.019467e-02
         372     -3.367119e+00     -3.474144e+00      1.017135e-02
         373     -3.367067e+00     -3.473856e+00      1.014813e-02
         374     -3.367276e+00     -3.473572e+00      1.012500e-02
         375     -3.367592e+00     -3.473289e+00      1.010194e-02
         376     -3.367717e+00     -3.473008e+00      1.007897e-02
         377     -3.367799e+00     -3.472729e+00      1.005610e-02
         378     -3.367688e+00     -3.472451e+00      1.003334e-02
         379     -3.367383e+00     -3.472174e+00      1.001069e-02
         380     -3.367186e+00     -3.471898e+00      9.988161e-03
         381     -3.367101e+00     -3.471623e+00      9.965732e-03
         382     -3.367114e+00     -3.471349e+00      9.943398e-03
         383     -3.367278e+00     -3.471077e+00      9.921148e-03
         384     -3.367215e+00     -3.470807e+00      9.898998e-03
         385     -3.367231e+00     -3.470538e+00      9.876942e-03
         386     -3.366568e+00     -3.470268e+00      9.855026e-03
         387     -3.366736e+00     -3.470001e+00      9.833191e-03
         388     -3.366224e+00     -3.469733e+00      9.811485e-03
         389     -3.366091e+00     -3.469467e+00      9.789879e-03
         390     -3.365882e+00     -3.469201e+00      9.768379e-03
         391     -3.365447e+00     -3.468936e+00      9.747000e-03
         392     -3.365292e+00     -3.468672e+00      9.725720e-03
         393     -3.365262e+00     -3.468409e+00      9.704532e-03
         394     -3.365282e+00     -3.468147e+00      9.683430e-03
         395     -3.364897e+00     -3.467885e+00      9.662442e-03
         396     -3.363957e+00     -3.467623e+00      9.641606e-03
         397     -3.363369e+00     -3.467360e+00      9.620895e-03
         398     -3.362680e+00     -3.467097e+00      9.600317e-03
         399     -3.361892e+00     -3.466834e+00      9.579876e-03
         400     -3.361003e+00     -3.466569e+00      9.559579e-03
         401     -3.360168e+00     -3.466304e+00      9.539422e-03
         402     -3.358931e+00     -3.466037e+00      9.519430e-03
         403     -3.357900e+00     -3.465768e+00      9.499590e-03
         404     -3.356354e+00     -3.465497e+00      9.479936e-03
         405     -3.355237e+00     -3.465225e+00      9.460437e-03
         406     -3.354225e+00     -3.464952e+00      9.441085e-03
         407     -3.353621e+00     -3.464678e+00      9.421850e-03
         408     -3.352866e+00     -3.464404e+00      9.402742e-03
         409     -3.352504e+00     -3.464131e+00      9.383732e-03
         410     -3.351778e+00     -3.463857e+00      9.364845e-03
         411     -3.351141e+00     -3.463582e+00      9.346075e-03
         412     -3.350597e+00     -3.463308e+00      9.327412e-03
         413     -3.349407e+00     -3.463032e+00      9.308904e-03
         414     -3.348510e+00     -3.462756e+00      9.290528e-03
         415     -3.347423e+00     -3.462478e+00      9.272297e-03
         416     -3.346901e+00     -3.462200e+00      9.254169e-03
         417     -3.346037e+00     -3.461921e+00      9.236169e-03
         418     -3.344984e+00     -3.461642e+00      9.218308e-03
